transaction_id,account_id,date,time,description,credit,debit,balance
TXN6F11F94D0D,ACC0199,2026-01-10,09:00:00,UPI Transfer to ACC0003,0,20027,99455
TXN6F11F94D0D,ACC0003,2026-01-10,09:00:00,UPI Received from ACC0199,20027,0,142210
TXNF18FDC1BCE,ACC0049,2026-01-10,09:01:18,UPI Transfer to ACC0257,0,6772,113806
TXNF18FDC1BCE,ACC0257,2026-01-10,09:01:18,UPI Received from ACC0049,6772,0,50339
TXN02D75B1D85,ACC0068,2026-01-10,09:01:58,UPI Transfer to ACC0247,0,7523,138899
TXN02D75B1D85,ACC0247,2026-01-10,09:01:58,UPI Received from ACC0068,7523,0,125250
TXNFFE94C0557,ACC0105,2026-01-10,09:03:00,UPI Transfer to ACC0031,0,23615,22029
TXNFFE94C0557,ACC0031,2026-01-10,09:03:00,UPI Received from ACC0105,23615,0,98417
TXN6C8277ADD5,ACC0198,2026-01-10,09:04:15,UPI Transfer to ACC0277,0,771,55551
TXN6C8277ADD5,ACC0277,2026-01-10,09:04:15,UPI Received from ACC0198,771,0,41814
TXN1D23254C49,ACC0073,2026-01-10,09:05:13,UPI Transfer to ACC0270,0,20896,122578
TXN1D23254C49,ACC0270,2026-01-10,09:05:13,UPI Received from ACC0073,20896,0,170434
TXN43108AF7D6,ACC0074,2026-01-10,09:06:14,UPI Transfer to ACC0052,0,3709,33926
TXN43108AF7D6,ACC0052,2026-01-10,09:06:14,UPI Received from ACC0074,3709,0,67286
TXNE2CA168418,ACC0089,2026-01-10,09:07:36,UPI Transfer to ACC0097,0,19771,13215
TXNE2CA168418,ACC0097,2026-01-10,09:07:36,UPI Received from ACC0089,19771,0,148377
TXNB9FA58EC30,ACC0153,2026-01-10,09:09:22,UPI Transfer to ACC0029,0,23569,109897
TXNB9FA58EC30,ACC0029,2026-01-10,09:09:22,UPI Received from ACC0153,23569,0,122909
TXNF16D627CEF,ACC0165,2026-01-10,09:10:23,UPI Transfer to ACC0262,0,5743,56308
TXNF16D627CEF,ACC0262,2026-01-10,09:10:23,UPI Received from ACC0165,5743,0,51689
TXNF0563C86B6,ACC0112,2026-01-10,09:11:23,UPI Transfer to ACC0249,0,19845,28410
TXNF0563C86B6,ACC0249,2026-01-10,09:11:23,UPI Received from ACC0112,19845,0,70242
TXN67FF959005,ACC0100,2026-01-10,09:11:56,UPI Transfer to ACC0258,0,19151,67776
TXN67FF959005,ACC0258,2026-01-10,09:11:56,UPI Received from ACC0100,19151,0,98722
TXNE30BDAEE54,ACC0144,2026-01-10,09:12:27,UPI Transfer to ACC0005,0,16620,8841
TXNE30BDAEE54,ACC0005,2026-01-10,09:12:27,UPI Received from ACC0144,16620,0,40715
TXNDA14525F53,ACC0116,2026-01-10,09:13:28,UPI Transfer to ACC0037,0,24585,111719
TXNDA14525F53,ACC0037,2026-01-10,09:13:28,UPI Received from ACC0116,24585,0,110850
TXN8A761EBC42,ACC0260,2026-01-10,09:14:02,UPI Transfer to ACC0185,0,522,136476
TXN8A761EBC42,ACC0185,2026-01-10,09:14:02,UPI Received from ACC0260,522,0,34015
TXN780CCADFF3,ACC0223,2026-01-10,09:14:42,UPI Transfer to ACC0214,0,9382,50108
TXN780CCADFF3,ACC0214,2026-01-10,09:14:42,UPI Received from ACC0223,9382,0,111623
TXNE92695B7C3,ACC0059,2026-01-10,09:15:47,UPI Transfer to ACC0289,0,21661,46138
TXNE92695B7C3,ACC0289,2026-01-10,09:15:47,UPI Received from ACC0059,21661,0,102977
TXN67F4D990EF,ACC0271,2026-01-10,09:17:43,UPI Transfer to ACC0218,0,20844,106580
TXN67F4D990EF,ACC0218,2026-01-10,09:17:43,UPI Received from ACC0271,20844,0,95008
TXN4AD0B0970E,ACC0275,2026-01-10,09:19:39,UPI Transfer to ACC0115,0,24676,59716
TXN4AD0B0970E,ACC0115,2026-01-10,09:19:39,UPI Received from ACC0275,24676,0,122355
TXN760B3E94A7,ACC0101,2026-01-10,09:20:26,UPI Transfer to ACC0085,0,10133,112611
TXN760B3E94A7,ACC0085,2026-01-10,09:20:26,UPI Received from ACC0101,10133,0,131500
TXN1E35F53737,ACC0254,2026-01-10,09:22:19,UPI Transfer to ACC0226,0,16047,22230
TXN1E35F53737,ACC0226,2026-01-10,09:22:19,UPI Received from ACC0254,16047,0,87867
TXN3EB8F2B7BA,ACC0154,2026-01-10,09:23:58,UPI Transfer to ACC0198,0,23238,41060
TXN3EB8F2B7BA,ACC0198,2026-01-10,09:23:58,UPI Received from ACC0154,23238,0,78789
TXN8B43F40309,ACC0244,2026-01-10,09:25:11,UPI Transfer to ACC0272,0,12893,135483
TXN8B43F40309,ACC0272,2026-01-10,09:25:11,UPI Received from ACC0244,12893,0,95527
TXNF7718E2771,ACC0295,2026-01-10,09:25:51,UPI Transfer to ACC0247,0,5893,101279
TXNF7718E2771,ACC0247,2026-01-10,09:25:51,UPI Received from ACC0295,5893,0,131143
